countryId,stateId,title
1,6,Janjgir
1,6,Jashpurnagar
1,6,Kanker
1,6,Kawardha
1,6,Kondagaon
1,6,Korba
1,6,Mahasamund
1,6,Mahendragarh
1,6,Mungeli
1,6,Naila Janjgir
1,6,Raigarh
1,6,Raipur
1,6,Rajnandgaon
1,6,Sakti
1,6,Tilda Newra
1,7,Amli
1,7,Silvassa
1,8,Daman and Diu
1,9,Asola
1,10,Aldona
1,10,Curchorem Cacora
1,10,Madgaon
1,10,Mapusa
1,10,Margao
1,10,Marmagao
1,10,Panaji
1,11,Ahmedabad
1,11,Amreli
1,11,Anand
1,11,Ankleshwar
1,11,Bharuch
1,11,Bhavnagar
1,11,Bhuj
1,11,Cambay
1,11,Dahod
1,11,Deesa
1,11,"Dharampur, India"
1,11,Dholka
1,11,Gandhinagar
1,11,Godhra
1,11,Himatnagar
1,11,Idar
1,11,Jamnagar
1,11,Junagadh
1,11,Kadi
1,11,Kalavad
1,11,Kalol
1,11,Kapadvanj
1,11,Karjan
1,11,Keshod
1,11,Khambhalia
1,11,Khambhat
1,11,Kheda
1,11,Khedbrahma
1,11,Kheralu
1,11,Kodinar
1,11,Lathi
1,11,Limbdi
1,11,Lunawada
1,11,Mahesana
1,11,Mahuva
1,11,Manavadar
1,11,Mandvi
1,11,Mangrol
1,11,Mansa
1,11,Mehmedabad
1,11,Modasa
1,11,Morvi
1,11,Nadiad
1,11,Navsari
1,11,Padra
1,11,Palanpur
1,11,Palitana
1,11,Pardi
1,11,Patan
1,11,Petlad
1,11,Porbandar
1,11,Radhanpur
1,11,Rajkot
1,11,Rajpipla
1,11,Rajula
1,11,Ranavav
1,11,Rapar
1,11,Salaya
1,11,Sanand
1,11,Savarkundla
1,11,Sidhpur
1,11,Sihor
1,11,Songadh
1,11,Surat
1,11,Talaja
1,11,Thangadh
1,11,Tharad
1,11,Umbergaon
1,11,Umreth
1,11,Una
1,11,Unjha
1,11,Upleta
1,11,Vadnagar
1,11,Vadodara
1,11,Valsad
1,11,Vapi
1,11,Vapi
1,11,Veraval
1,11,Vijapur
1,11,Viramgam
1,11,Visnagar
1,11,Vyara
1,11,Wadhwan
1,11,Wankaner
1,11,Adalaj
1,11,Adityana
1,11,Alang
1,11,Ambaji
1,11,Ambaliyasan
1,11,Andada
1,11,Anjar
1,11,Anklav
1,11,Antaliya
1,11,Arambhada
1,11,Atul
1,12,Ballabhgarh
1,12,Ambala
1,12,Ambala
1,12,Asankhurd
1,12,Assandh
1,12,Ateli
1,12,Babiyal
1,12,Bahadurgarh
1,12,Barwala
1,12,Bhiwani
1,12,Charkhi Dadri
1,12,Cheeka
1,12,Ellenabad 2
1,12,Faridabad
1,12,Fatehabad
1,12,Ganaur
1,12,Gharaunda
1,12,Gohana
1,12,Gurgaon
1,12,Haibat(Yamuna Nagar)
1,12,Hansi
1,12,Hisar
1,12,Hodal
1,12,Jhajjar
1,12,Jind
1,12,Kaithal
1,12,Kalan Wali
1,12,Kalka
1,12,Karnal
1,12,Ladwa
1,12,Mahendragarh
1,12,Mandi Dabwali
1,12,Narnaul
1,12,Narwana
1,12,Palwal
1,12,Panchkula
1,12,Panipat
1,12,Pehowa
1,12,Pinjore
1,12,Rania
1,12,Ratia
1,12,Rewari
1,12,Rohtak
1,12,Safidon
1,12,Samalkha
1,12,Shahbad
1,12,Sirsa
1,12,Sohna
1,12,Sonipat
1,12,Taraori
1,12,Thanesar
1,12,Tohana
1,12,Yamunanagar
1,13,Arki
1,13,Baddi
1,13,Bilaspur
1,13,Chamba
1,13,Dalhousie
1,13,Dharamsala
1,13,Hamirpur
1,13,Mandi
1,13,Nahan
1,13,Shimla
1,13,Solan
1,13,Sundarnagar
1,14,Jammu
1,14,Achabbal
1,14,Akhnoor
1,14,Anantnag
1,14,Arnia
1,14,Awantipora
1,14,Bandipore
1,14,Baramula
1,14,Kathua
1,14,Leh
1,14,Punch
1,14,Rajauri
1,14,Sopore
1,14,Srinagar
1,14,Udhampur
1,15,Amlabad
1,15,Ara
1,15,Barughutu
1,15,Bokaro Steel City
1,15,Chaibasa
1,15,Chakradharpur
1,15,Chandrapura
1,15,Chatra
1,15,Chirkunda
1,15,Churi
1,15,Daltonganj
1,15,Deoghar
1,15,Dhanbad
1,15,Dumka
1,15,Garhwa
1,15,Ghatshila
1,15,Giridih
1,15,Godda
1,15,Gomoh
1,15,Gumia
1,15,Gumla
1,15,Hazaribag
1,15,Hussainabad
1,15,Jamshedpur
1,15,Jamtara
1,15,Jhumri Tilaiya
1,15,Khunti
1,15,Lohardaga
1,15,Madhupur
1,15,Mihijam
1,15,Musabani
1,15,Pakaur
1,15,Patratu
1,15,Phusro
1,15,Ramngarh
1,15,Ranchi
1,15,Sahibganj
1,15,Saunda
1,15,Simdega
1,15,Tenu Dam-cum- Kathhara
1,16,Arasikere
1,16,Bangalore
1,16,Belgaum
1,16,Bellary
1,16,Chamrajnagar
1,16,Chikkaballapur
1,16,Chintamani
1,16,Chitradurga
1,16,Gulbarga
1,16,Gundlupet
1,16,Hassan
1,16,Hospet
1,16,Hubli
1,16,Karkala
1,16,Karwar
1,16,Kolar
1,16,Kota
1,16,Lakshmeshwar
1,16,Lingsugur
1,16,Maddur
1,16,Madhugiri
1,16,Madikeri
1,16,Magadi
1,16,Mahalingpur
1,16,Malavalli
1,16,Malur
1,16,Mandya
1,16,Mangalore
1,16,Manvi
1,16,Mudalgi
1,16,Mudbidri
1,16,Muddebihal
1,16,Mudhol
1,16,Mulbagal
1,16,Mundargi
1,16,Mysore
1,16,Nanjangud
1,16,Pavagada
1,16,Puttur
1,16,Rabkavi Banhatti
1,16,Raichur
1,16,Ramanagaram
1,16,Ramdurg
1,16,Ranibennur
1,16,Robertson Pet
1,16,Ron
1,16,Sadalgi
1,16,Sagar
1,16,Sakleshpur
1,16,Sandur
1,16,Sankeshwar
1,16,Saundatti-Yellamma
1,16,Savanur
1,16,Sedam
1,16,Shahabad
1,16,Shahpur
1,16,Shiggaon
1,16,Shikapur
1,16,Shimoga
1,16,Shorapur
1,16,Shrirangapattana
1,16,Sidlaghatta
1,16,Sindgi
1,16,Sindhnur
1,16,Sira
1,16,Sirsi
1,16,Siruguppa
1,16,Srinivaspur
1,16,Talikota
1,16,Tarikere
1,16,Tekkalakota
1,16,Terdal
1,16,Tiptur
1,16,Tumkur
1,16,Udupi
1,16,Vijayapura
1,16,Wadi
1,16,Yadgir
1,16,Chikmagalur
1,16,Davanagere
1,16,Dharwad
1,16,Gadag
1,17,Adoor
1,17,Akathiyoor
1,17,Alappuzha
1,17,Ancharakandy
1,17,Aroor
1,17,Ashtamichira
1,17,Attingal
1,17,Avinissery
1,17,Chalakudy
1,17,Changanassery
1,17,Chendamangalam
1,17,Chengannur
1,17,Cherthala
1,17,Cheruthazham
1,17,Chittur-Thathamangalam
1,17,Chockli
1,17,Erattupetta
1,17,Guruvayoor
1,17,Irinjalakuda
1,17,Kadirur
1,17,Kalliasseri
1,17,Kalpetta
1,17,Kanhangad
1,17,Kanjikkuzhi
1,17,Kannur
1,17,Kasaragod
1,17,Kayamkulam
1,17,Kochi
1,17,Kodungallur
1,17,Kollam
1,17,Koothuparamba
1,17,Kothamangalam
1,17,Kottayam
1,17,Kozhikode
1,17,Kunnamkulam
1,17,Malappuram
1,17,Mattannur
1,17,Mavelikkara
1,17,Mavoor
